,الترتيب,الرواية,المؤلف,البلد
0,1,الثلاثية,نجيب محفوظ,مصر
1,2,البحث عن وليد مسعود,جبرا ابراهيم جبرا,فلسطين
2,3,شرف,صنع الله إبراهيم,مصر
3,4,الحرب في بر مصر,يوسف القعيد,مصر
4,5,رجال في الشمس,غسان كنفانى,فلسطين
5,6,الوقائع الغريبة في اختفاء سعيد أبي النحس المتشائل,إميل حبيبي,فلسطين
6,7,الزمن الموحش,حيدر حيدر,سوريا
7,8,رامة والتنين,إدوار خراط,مصر
8,9,حدث أبو هريرة قال,محمود المسعدي,تونس
9,10,كوابيس بيروت,غاده السمان,سوريا
10,11,المجوس,ابراهيم الكوني,ليبيا
11,12,الوشم,عبد الرحمن مجيد الربيعي,العراق
12,13,الرجع البعيد,فؤاد التكرلي,العراق
13,14,الشراع والعاصفة,حنا مينه,سوريا
14,15,الزينى بركات,جمال الغيطاني,مصر
15,16,ثلاثية 'سأهبك مدينة ثانية',احمد ابراهيم الفقيه,ليبيا
16,17,أنا أحيا,ليلى بعلبكي,لبنان
17,18,لا أحد ينام في الإسكندرية,إبراهيم عبد المجيد,مصر
18,19,الحب في المنفى,بهاء طاهر,مصر
19,20,مدارات الشرق,نبيل سليمان,سوريا
20,21,الوباء,هاني الراهب,سوريا
21,22,الحرام,يوسف ادريس,مصر
22,23,ليلة ألسنين العشر,محمد صالح الجابري,تونس
23,24,موسم الهجرة إلى الشمال,الطيب صالح,السودان السودان
24,25,ذاكرة الجسد,احلام مستغانمي,الجزائر
25,26,الخبز الحافى,محمد شكري,المغرب
26,27,تشريفة آل المر,عبد الكريم ناصيف,سوريا
27,28,دار المتعة,وليد اخلاصي,سوريا
28,29,طواحين بيروت,توفيق يوسف عواد,لبنان
29,30,الأفيال,فتحى غانم,مصر
30,31,نجران تحت الصفر,يحيى يخلف,فلسطين
31,32,العشاق,رشاد أبو شاور,فلسطين
32,33,الاعتراف,علي أبو الريش,قالب:ألأمارات ألعربية المتحدة
33,34,النخلة والجيران,غائب طعمه فرمان,العراق
34,35,العصفورية,غازى القصيبى,السعودية
35,36,قنديل ام هاشم,يحيى حقي,مصر
36,37,العودة إلى المنفى,أبو المعاطي أبو النجا,مصر
37,38,وكالة عطيه,خيري شلبي,مصر
38,39,تماس,عروسيه النالوتي,تونس
39,40,سلطانة,غالب هلسا,الأردن الاردن
40,41,مالك الحزين,إبراهيم أصلان,مصر
41,42,باب الشمس,الياس خوري,لبنان
42,43,الحى اللاتينى,سهيل ادريس,لبنان
43,44,عودة الروح,توفيق الحكيم,مصر
44,45,الرهينة,زيد مطيع دماج,اليمن
45,46,لعبة النسيان,محمد براده,المغرب
46,47,الريح الشتوية,مبارك الربيع,المغرب
47,48,دار الباشا,حسن نصر,تونس
48,49,مدينة الرياح,موسى ولد ابنو,موريتانيا
49,50,ايام الانسان السبعه,عبد الحكيم قاسم,مصر
50,51,طائر الحوم,حليم بركات,سوريا
51,52,حكاية زهرة,حنان الشيخ,لبنان
52,53,ريح الجنوب,عبد الحميد بن هدوقه,الجزائر الجزاير
53,54,فردوس الجنون,أحمد يوسف داوود,سوريا
54,55,وسمية تخرج من البحر,ليلى العثمان,الكويت
55,56,اعترافات كاتم صوت,مؤنس الرزاز,الأردن الاردن
56,57,رباعية بحري,محمد جبريل,مصر
57,58,صنعاء مدينة مفتوحة,محمد عبد الولي,اليمن
58,59,ثلاثية غرناطة,رضوى عاشور,مصر
59,60,دعاء الكروان,طه حسين,مصر
60,61,فساد الامكنه,صبري موسى,مصر
61,62,السقا مات,يوسف السباعي,مصر
62,63,تغريبه بنى حتحوت,مجيد طوبيا,مصر
63,64,بعد الغروب,محمد عبد الحليم عبد الله,مصر
64,65,قلوب على الاسلاك,عبد السلام العجيلي,سوريا
65,66,عائشة,البشير بن سلامة,تونس
66,67,الظل والصدى,يوسف حبشي الأشقر,لبنان
67,68,الدقلة في عراجينها,بشير خريف,تونس
68,69,النخاس,صلاح الدين بوجاه,تونس
69,70,باب الساحة,سحر خليفة,فلسطين
70,71,سابع ايام الخلق,عبد الخالق الركابي,العراق
71,72,شيء من الخوف,ثروت أباظه,مصر
72,73,اللاز,الطاهر وطار,الجزائر الجزاير
73,74,المرأة والوردة,محمد زفزاف,المغرب
74,75,ألف عام وعام من الحنين,رشيد بوجدره,الجزائر الجزاير}
75,76,القبر المجهول,أحمد ولد عبد القادر,موريتانيا
76,77,الاغتيال والغضب,موفق خضر,العراق
77,78,الدوامة,قمر كيلانى,سوريا
78,79,الحصار,فوزية رشيد,البحرين
79,80,فى بيتنا رجل,إحسان عبد القدوس,مصر
80,81,رموز عصرية,خضير عبد الأمير,العراق
81,82,ونصيبى من الافق,عبد القادر بن الشيخ,تونس
82,83,مجنون الحكم,بنسالم حميش,المغرب
83,84,الخماسية,أسماعيل فهد أسماعيل,الكويت
84,85,أجنحة التيه,جواد الصيداوي,لبنان
85,86,ايام الرماد,محمد عز الدين التازي,المغرب
86,87,رأس بيروت,ياسين رفاعيه,سوريا
87,88,عين الشمس,خليفة حسين مصطفي,ليبيا
88,89,لونجه والغول,زهور ونيسى,الجزائر
89,90,صخب البحيره,محمد البساطي,مصر
90,91,السائرون نياما,سعد مكاوي,مصر
91,92,1952,جميل عطية إبراهيم,مصر
92,93,طيور أيلول,ايميلي نصر الله,لبنان
93,94,المؤامرة,فرج الحوار,تونس
94,95,المعلم على,عبد الكريم غلاب,المغرب
95,96,قامات الزبد,إلياس فركوح,الأردن الاردن
96,97,عصافير الفجر,ليلى عسيران,لبنان
97,98,جسر بنات يعقوب,حسن حميد,فلسطين
98,99,الوسمية,عبد العزيز مشري,السعودية
99,100,البشمورى,سلوى بكر,مصر
100,101,الفارس القتيل يترجل,إلياس الديري,لبنان
101,102,التوت المر,محمد العروسي المطوي,تونس
102,103,أغنية الماء والنار,عبد الله خليفة,البحرين
103,104,الباب المفتوح,لطيفة الزيات,مصر
104,105,مدن الملح (خماسية),عبد الرحمن منيف,السعودية
