الرواية,المؤلف,البلد,السنة,رابط,رابط آخر
الثلاثية ,نجيب محفوظ,مصر,1956,https://archive.org/details/dodylonging_gmail_1235,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9_%D9%86%D8%AC%D9%8A%D8%A8_%D9%85%D8%AD%D9%81%D9%88%D8%B8.pdf
البحث عن وليد مسعود ,جبرا ابراهيم جبرا,فلسطين,1978,https://archive.org/details/35533-foulabook.com-2,https://github.com/a-tabaza/arabic_novel/blob/ea278523b1402964f8882b6df1d11b754fd830b8/books/%D8%A7%D9%84%D8%A8%D8%AD%D8%AB_%D8%B9%D9%86_%D9%88%D9%84%D9%8A%D8%AF_%D9%85%D8%B3%D8%B9%D9%88%D8%AF_%D8%AC%D8%A8%D8%B1%D8%A7_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%AC%D8%A8%D8%B1%D8%A7.pdf
شرف,صنع الله إبراهيم,مصر,1997,https://www.hindawi.org/books/13753085/,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%B4%D8%B1%D9%81_%D8%B5%D9%86%D8%B9_%D8%A7%D9%84%D9%84%D9%87_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85.pdf
الحرب في بر مصر,يوسف القعيد,مصر,1978,https://archive.org/details/20200325_20200325_0756,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D9%81%D9%8A_%D8%A8%D8%B1_%D9%85%D8%B5%D8%B1_%D9%8A%D9%88%D8%B3%D9%81_%D8%A7%D9%84%D9%82%D8%B9%D9%8A%D8%AF.pdf
رجال في الشمس,غسان كنفانى,فلسطين,1962,https://archive.org/details/20220115_20220115_1244,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%B1%D8%AC%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%B4%D9%85%D8%B3_%D8%BA%D8%B3%D8%A7%D9%86_%D9%83%D9%86%D9%81%D8%A7%D9%86%D9%8A.pdf
الوقائع الغريبة في اختفاء سعيد أبي النحس المتشائل,إميل حبيبي,فلسطين,1974,https://archive.org/details/MotsashaelEdit,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D9%85%D8%AA%D8%B4%D8%A7%D8%A6%D9%84_%D8%A5%D9%85%D9%8A%D9%84_%D8%AD%D8%A8%D9%8A%D8%A8%D9%8A.pdf
الزمن الموحش,حيدر حيدر,سوريا,1973,https://archive.org/details/20210119_20210119_0558,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%B2%D9%85%D9%86_%D8%A7%D9%84%D9%85%D9%88%D8%AD%D8%B4_%D8%AD%D9%8A%D8%AF%D8%B1_%D8%AD%D9%8A%D8%AF%D8%B1.pdf
رامة والتنين,إدوار خراط,مصر,1980,https://archive.org/details/AAlexandrina-432084,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%B1%D8%A7%D9%85%D8%A9_%D9%88_%D8%A7%D9%84%D8%AA%D9%86%D9%8A%D9%86_%D8%A5%D8%AF%D9%88%D8%A7%D8%B1_%D8%A7%D9%84%D8%AE%D8%B1%D8%A7%D8%B7.pdf
حدث أبو هريرة قال,محمود المسعدي,تونس,1973,https://archive.org/details/58485-foulabook.com,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%AD%D8%AF%D8%AB_%D8%A3%D8%A8%D9%88_%D9%87%D8%B1%D9%8A%D8%B1%D8%A9_%D9%82%D8%A7%D9%84_%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D8%AF%D9%8A.pdf
كوابيس بيروت,غاده السمان,سوريا,1976,https://archive.org/details/20190809_20190809_0040,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%83%D9%88%D8%A7%D8%A8%D9%8A%D8%B3_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA_%D8%BA%D8%A7%D8%AF%D8%A9_%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D9%86.pdf
